time,error,integral,derivative,output,setpoint,measured_value,angle_x,angle_y,control_signal,speed
15.159,-2.074222,-11.40797,-19.98336,-80,0.0,2.074222,88.01667,2.074222,-80,3604
15.221,-2.423844,-11.43221,-22.97915,-80,0.0,2.423844,88.09226,2.423844,-80,3604
15.284,-2.71989,-11.4594,-24.30423,-80,0.0,2.71989,88.12989,2.71989,-80,3604
15.348,-3.392091,-11.49333,-32.8874,-80,0.0,3.392091,88.28562,3.392091,-80,3604
15.408,-3.792007,-11.53125,-34.30825,-80,0.0,3.792007,88.42378,3.792007,-80,3604
15.47,-3.811753,-11.56936,-27.84153,-80,0.0,3.811753,88.59651,3.811753,-80,3604
15.535,-3.776761,-11.60713,-21.57337,-80,0.0,3.776761,88.50563,3.776761,-80,3604
15.607,-3.919011,-11.64632,-20.1037,-80,0.0,3.919011,89.25803,3.919011,-80,3604
15.73,-4.215067,-11.68847,-22.00408,-80,0.0,4.215067,89.07732,4.215067,-80,3604
15.793,-4.426685,-11.73274,-21.83563,-80,0.0,4.426685,89.27922,4.426685,-80,3604
15.858,-4.591625,-11.77866,-20.7673,-80,0.0,4.591625,89.36723,4.591625,-80,3604
15.925,-5.031871,-11.82897,-25.41875,-80,0.0,5.031871,89.72868,5.031871,-80,3604
15.992,-5.145008,-11.88042,-22.59775,-80,0.0,5.145008,89.56766,5.145008,-80,3604
16.055,-5.28035,-11.93323,-20.78504,-80,0.0,5.28035,89.67426,5.28035,-80,3604
16.123,-5.71627,-11.99039,-25.34644,-80,0.0,5.71627,89.42258,5.71627,-80,3604
16.189,-6.344579,-12.05383,-32.84332,-80,0.0,6.344579,89.48087,6.344579,-80,3604
16.259,-6.58919,-12.11973,-31.16689,-80,0.0,6.58919,89.51237,6.58919,-80,3604
16.328,-6.582476,-12.18555,-24.79922,-80,0.0,6.582476,89.6648,6.582476,-80,3604
16.395,-6.773911,-12.25329,-23.66807,-80,0.0,6.773911,89.62387,6.773911,-80,3604
16.468,-6.768577,-12.32098,-18.82778,-80,0.0,6.768577,89.89161,6.768577,-80,3604
16.545,-7.008825,-12.39107,-19.8672,-80,0.0,7.008825,89.79476,7.008825,-80,3604
16.612,-6.6814,-12.45788,-9.345256,-80,0.0,6.6814,89.8697,6.6814,-80,3604
16.684,-6.453559,-12.52242,-2.919377,-80,0.0,6.453559,90.05727,6.453559,-80,3604
16.814,-6.964929,-12.59206,-12.5629,-80,0.0,6.964929,89.94933,6.964929,-80,3604
16.886,-6.910359,-12.66117,-8.958932,-80,0.0,6.910359,90.04208,6.910359,-80,3604
16.961,-6.866685,-12.72983,-6.293656,-80,0.0,6.866685,90.063,6.866685,-80,3604
17.034,-6.760485,-12.79744,-2.91093,-80,0.0,6.760485,90.41338,6.760485,-80,3604
17.102,-6.611089,-12.86355,0.6591747,-80,0.0,6.611089,90.47443,6.611089,-80,3604
17.216,-5.946599,-12.92302,13.81714,-80,0.0,5.946599,90.77486,5.946599,-80,3604
17.268,-5.936495,-12.98238,11.25579,-80,0.0,5.936495,90.88345,5.936495,-80,3604
17.322,-5.365061,-13.03603,20.43331,-80,0.0,5.365061,90.91855,5.365061,-80,3604
17.378,-5.080738,-13.08684,22.03311,-80,0.0,5.080738,90.96735,5.080738,-80,3604
17.43,-4.513818,-13.13198,28.9649,-80,0.0,4.513818,91.05168,4.513818,-80,3604
17.487,-4.264927,-13.17463,28.14974,-80,0.0,4.264927,91.26228,4.264927,-80,3604
17.541,-4.192883,-13.21656,23.96067,-80,0.0,4.192883,91.23871,4.192883,-80,3604
17.596,-4.042186,-13.25698,22.18248,-80,0.0,4.042186,90.99316,4.042186,-80,3604
17.653,-3.877063,-13.29575,21.04843,-80,0.0,3.877063,91.21632,3.877063,-80,3604
17.706,-3.734464,-13.33309,19.69073,-80,0.0,3.734464,90.88119,3.734464,-80,3604
17.817,-3.22891,-13.36538,25.86367,-80,0.0,3.22891,91.03307,3.22891,-80,3604
17.872,-2.830623,-13.39369,28.65667,-80,0.0,2.830623,90.90215,2.830623,-80,3604
17.931,-2.49825,-13.41867,29.5728,-80,0.0,2.49825,91.08617,2.49825,-80,3604
17.987,-2.251297,-13.44118,28.5973,-80,0.0,2.251297,91.18453,2.251297,-80,3604
18.045,-2.007917,-13.46126,27.74543,-80,0.0,2.007917,91.22356,2.007917,-80,3604
18.103,-1.881043,-13.48007,24.73384,-80,0.0,1.881043,91.23067,1.881043,-80,3604
18.162,-1.773939,-13.49781,21.92915,-80,0.0,1.773939,91.29995,1.773939,-80,3604
18.225,-1.132413,-13.50914,30.37384,-80,0.0,1.132413,91.41064,1.132413,-80,3604
18.283,-1.07449,-13.51988,25.45752,-80,0.0,1.07449,91.63537,1.07449,-80,3604
18.347,-0.8256923,-13.52814,25.34198,-80,0.0,0.8256923,91.74644,0.8256923,-80,3604
18.407,-0.5775461,-13.53392,25.23651,-60.50919,0.0,0.5775461,91.94286,0.5775461,-60.50919,3923
